City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
187,Sioux Lookout,CA,50.1001,-91.917,28.47,80,75,0.0,broken clouds
188,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,4.61,clear sky
189,Nelson Bay,AU,-32.7167,152.15,71.11,89,100,13.0,overcast clouds
190,Lagoa,PT,39.05,-27.9833,65.55,69,97,20.76,overcast clouds
191,Dalbandin,PK,28.8947,64.4101,70.95,23,0,4.94,clear sky
192,Nara,JP,34.6851,135.8049,69.12,37,0,2.13,clear sky
193,Upernavik,GL,72.7868,-56.1549,18.01,91,100,7.23,overcast clouds
194,Tsiroanomandidy,MG,-18.7667,46.0333,69.55,58,62,5.08,broken clouds
195,Santa Rosa,PH,14.3122,121.1114,88.09,76,100,2.13,overcast clouds
196,Port Keats,AU,-14.25,129.55,89.64,59,79,10.49,broken clouds
197,Puntarenas,CR,9.9763,-84.8384,77.85,84,49,2.91,scattered clouds
198,Provideniya,RU,64.3833,-173.3,35.71,100,100,18.01,mist
199,Cabedelo,BR,-6.9811,-34.8339,75.87,76,82,13.94,broken clouds
200,Bartica,GY,6.4,-58.6167,77.32,99,98,1.39,overcast clouds
201,Iquique,CL,-20.2208,-70.1431,60.84,71,28,2.53,scattered clouds
202,Gat,IL,31.61,34.7642,68.4,74,49,1.95,scattered clouds
203,Fortuna,US,40.5982,-124.1573,55.09,85,1,3.62,clear sky
204,Kastamonu,TR,41.5,33.6667,52.52,70,100,6.85,overcast clouds
205,Lorengau,PG,-2.0226,147.2712,86.32,64,89,9.46,overcast clouds
206,Silver City,US,32.7701,-108.2803,52.68,63,0,4.61,clear sky
207,Cairns,AU,-16.9167,145.7667,87.75,66,33,10.36,scattered clouds
208,The Pas,CA,53.8251,-101.2541,39.22,93,0,2.3,clear sky
209,Sur,OM,22.5667,59.5289,85.59,31,59,1.48,broken clouds
210,Te Anau,NZ,-45.4167,167.7167,46.11,93,100,3.8,overcast clouds
